Vendor Code,Vendor Name
200783,SRACO COMPANY
200791,ALMULHIM AUTO SERVICES CO.LTD.
200795,GCC ELECTRICAL TESTING LABORATORY C
200801,"GASKET FACTORY, BRANCH OF AL-IMAN"
200807,JUFFALI TECHNICAL EQUIPMENT
200830,MADAR BUILDING MATERIALS CO
200847,Shiny Stone For Trading
200852,AL MUTLAQ UNITED COMPANY
200853,RIYADH CABLES GROUP COMPANY
200854,FARHA M. SIRFARAZ AL JOUHAN
200864,AL FANOOS TRADING COMPANY
200875,BIN-SHIHON GROUP CO. LTD.
200878,GULF GASKET FACTORY
200898,TAMKEEN INTERNATIONAL CO.
200909,GATE ALFAIN TRADING CO.
200922,AL ASSAS SPECIALIZED COMPANY LTD.
200934,AL BASELA TRADING CO.
200939,GULFCRYO SAUDI FOR INDUSTRIAL &
200953,FLOWLINE TRADE L.L.C
200966,ALI GASHASH AL OMARI TRADING COMPAN
200987,ALI  HUSSAIN AL ZAHER TRADING EST
200990,MIDDLE EAST FIBER CABLE MANUFACTURI
200992,AL WAHA MIDDLE EAST TRADING CO.
200993,TUV RHEINLAND ARABIA LLC
200994,PAN ARABIAN OFFICE CO LTD FOR TRADI
201006,Saudi Thalate General Manufacturing
201007,SAUD BIN HAMOOD COMPANY
201017,BAHRA ADVANCED CABLE MANUFACTURE
201018,AL-SUHAILI FOR TRADING &
201019,AL BATIN ADVANCED CONTRACTING CO.
201022,HITACHI ENERGY LTD.
201023,SAUDI POWER TRANSFORMERS COMPANY
201042,PEPPERL FUCHS GULF LLC
201045,AL-GASWA STEEL INDUSTRIES CO. LTD
201049,RIMAH AL-SHRQ FACTORY FOR FIBERGLAS
201053,DELMON INDUSTRIAL & MECHANICAL
201056,THE SAUDI COMMERCIAL IMPORT CO LTD
201065,SAUDI ARABIAN FABRICATED METALS
201097,FUTURE PIPE INDUSTRIES LLC
201121,SAUDI READYMIX CONCRETE
201122,INTECH PROCESS AUTOMATION ARABIA C
201138,MOHAMMED ABDUL RAHMAN
201158,IT HUMAN SOLUTIONS
201164,POWER TRANSMISSION & TELECOMMUNICAT
201168,KINETIC ENERGY FACTORY COMPANY
201172,AL SHAIKH INTERNATIONAL LIMITED
201180,FAMA TECHNOLOGIES
201196,GULF CONSTRUCTION CONTRACTING EST
201203,AUTO GULF COMPANY
201210,TECHNICAL HOUSE TRADING EST
201213,CENTRE SYSTEMS ARABIA TRADING
201214,ERAM PRINTING & PACKAGING  FACTORY
201216,IDEAL VISION TECHNOLOGY CO.
201219,OCEAN WINGS TRADING CO
201225,INFINITY WORK TRADING COMPANY
201240,ALBOKSOMATTI FOR SURVEYING
201247,TOP FIVE EST.
201272,AL SIRAJ SILVER TARDING
201320,PROTECTIVE EQUIPMENT COMPANY
201324,PIONEERS OF TECHNICAL SOLUTIONS
201325,AL-NIZAM AL-MUBAKIR CONT. EST
201327,ZAMIL CENTRAL AIR CONDITIONERS CO.
201328,SAUDI MAZ TRADING EST.
201335,RIDA ALI SALMAN AL SALEM TRADING ES
201337,BUSINESS CREATIVITY COMMERCIAL EST.
201354,NASSER OBAID ALHAJRI TRADING
201373,SMART ADVERTISING AGENCY
201382,UNIVERSAL GULF TRADING EST
201385,SAEED SAAD MOHAMMED
201389,BLUEMART TRADING COMPANY
201395,TAHADI SAEB TRADING ESTABLISHMENT
201396,ATTIEH TRADING COMPANY FACTORY
201398,VISUAL SOLUTIONS FOUNDATION SECURIT
201400,SAIHATI FIRE SOLUTIONS COMPANY
201402,SIKA SAUDI ARABIA CO. LTD.
201433,RAWABI INTEGRATED GAS COMPANY
201445,HAKA MOTORS AND INDUSTRY CO.
201450,EVOSTEL COMPANY
201456,ENS TRADING COMPANY
201464,DAR ALTAWREDAT ALHANDASEYAH
201466,ASDAAM SUPPLY & SERVICES CO. LTD.
201477,MUHAIT AL-KHALIJ SECURITY
201480,AL MAADAN GATE TRADING EST
201501,BRANCH TECHNO ZONE TRADING CO
201504,RASHID SAEED AHMED AL GHAMDI FOR
201511,AVON INTERNATIONAL FURNITURE COMPAN
201516,MODERN SQUARE COMPANY LIMITED
201517,GOLDEN ESSENTIALS TRADING EST
201519,SEBHA TRADING COMPANY
201521,TAWASUL INTERNATIONAL TRADING EST.
201538,LIDAS TRADING EST
201542,AL ESTAGAMAH GLOBAL GROUP TRADING
201543,VALMET FLOW CONTROL INDUSTRIAL
201553,ASWAR ELECTRICAL TRADING EST.
201573,INDUSTRIAL TRADING AND CONTRACTING
201577,SUPPLIES & TECHNOLOGIES
201578,AL EQTISAD AND AL-TAWFER
201589,NAIZAK AL MULTAHIB TRADING EST.
201591,SIEMENS ENERGY LTD
201595,AL-WAFA ARAB COMPANY FOR INDUSTRY
201597,AL HARAM PERFECT MACHINERY
201601,GULF UNIFORM DESIGNERS PLANT
201607,AL-HUWAIL TRADING & CONTRACTING CO
201608,ALBAB TRADING CO. LTD
201610,SHAKER AL MUTAWA TRADING EST.
201611,CONSTRUCTION MATERIAL
201617,LAND SEA TRADING & CONTRACTING
201618,ABSOLUTE QUALITY ENERGY CO.
201620,Green Safa Contracting Est.
201630,ENERGY POWER SERVICE EST.
201632,SAUDI STEEL PIPES COMPANY
201633,WAVES TELECOM AND TECHNOLOGY
201634,UFUQ  AL-MUSTAQBAL FOR TRADING EST
201635,MANZILANA GHAIR TRADING EST.
201637,AL SUHAIMI TRADING COMPANY
201639,OMRAN NAJD INDUSTRIES CO.
201640,MAJED A.ALRAMMAH TRADING EST.
201641,CHEVRON ALBARKI LUBRICANTS CO.
201643,ABDULLATIF HUSSEIN ABULJADAYEL
201644,ARABIAN PIPES CO.
201647,AL-RAKEEN COMMUNICATIONS & IT CO.
201649,ESSENTIAL FITTING TRADING EST
201650,AL-QAHTANI PIPE COATING INDUSTRIES
201651,BLUE LIGHT TRADING COMPANY
201653,SIM SOLUTIONS COMPANY LIMITED
201654,GLOBAL SOURCE TRADING COMPANY
201657,AHMED ABDULLAH JABER ALSAYED EST.
201661,HONEYWELL AUTOMATION AND
201664,MIDAS GENERAL CONTRACTING COMPANY
201665,INDUSTRIAL WAY SERVICES
201669,BASIC TOOLS TRADING EST.
201670,LEWAN TRADING SUPPLIES EST.
201673,HIGH VALLEY FOR TRADING EST
201678,PAK SAFETY TRADING CO.
201680,TASK GENERAL CONTRACTING COMPANY
201681,MOHAMMED SALMAN
201682,AL NADHARAH WORLD TRADING EST
201684,SYNEM TECHNOLOGIES COMPANY
201696,MEASUREMENT METHODS TRADING EST.
201699,Injaz Al Jubail Trading Est
201700,CLASS CAR SHOWROOM
201701,ANDALUS WAVES TRADING EST.
201706,AL-ANJAZ FOUNDATION FOR DECORATION
201707,ALARBI EST
201708,JANA DORAR CO.LTD.
201709,ATLAS INDUSTRIAL EQUIPMENT CO.
201711,ZYDA GLOBAL OPERATION AND
201712,BAB AL-KUNOOZ GENERAL CONTRACTING E
201719,Power Rack Factory Company
201721,ADVANCED LINES GROUP FOR
201724,BARTEC Middle East LLC
201729,ALI IBRAHIM ALOUFY TRADING COMPANY
201732,ROOTAGE CONTRACTING EST.
201733,AL RAYA AL HAMRA FUEL STATION
201734,ABDUL HADI A. ALQAHTANI & SONS CO.
201739,GRID SOLUTIONS ARABIA LTD CO.
201740,ALYAF INDUSTRIAL CO. LTD.
201753,ALZAHER INTERNATIONAL CO LTD
201756,TECHNICAL TRADE COMPANY FOR TRADING
201758,ANFAAS AL AMAL GENERAL
201760,COMPANY ADVANCED TOP
201761,RIKAZ AL SHARQIYAH GENERAL
201762,OKAZ INDUSTRY COMPANY
201764,Mohammed Suwailem Al Sharif Sons
201765,SULB ALJAZEERA CONCRETE MANUFACTURI
201766,BLUE LINE CONTRACTING COMPANY
201767,NATIONAL MARKETING EST. CO. LTD.
201772,DURAR MASAGH TRADING COMPANY
201773,ASCENT ARABIA TRADING COMPANY
201776,TAQ ALZAFARANI GENERAL CONTRACTING
201779,MOHSIN AL-KATHIERY TRADING EST
201781,MITWALLI STEEL PRODUCTS FACTORY
201785,ABSOLUTE SOLUTION COMPANY
201787,AL AMAD AL BAEED CO. LTD.
201788,CONTROWARE INDUSTRIAL SOLUTIONS CO
201789,AL RAGHEEDH INDUSTRIAL FACTORY
201792,ADVANCED INTELLIGENCE COMPUTING
201793,AL SABQ AL ARABI MACHINERY AND
201795,BRIGHT WIRES COMPANY
201796,TARFA AYAD ZUFAIRI ESTABLISHMENT
201802,AL WATANIA PLASTIC INDUSTRY
201804,AURA TRADING ELECTRIC SYSTEMS
400157,MANAR AL ESKAN CONTRACTING
400165,NATIONAL INSPECTION & TECHNICAL
400168,AL MIRA CENTER FOR TRADING COMPANY
400171,R B Hilton Saudi Arabia Ltd.
400175,FASH TECHNICAL CONTRACTING CO.
400178,ENERGIA MODEL TRADING & GENERAL
400183,LUMI RENTAL COMPANY LTD
400191,TCR ARABIA COMPANY LTD
400192,AL NAJM AL THAQIB CONTRACTING CO.
400201,FARIS AL ARAB TRANSPORT COMPANY
400222,GLOBAL ADVANCED TECHNOLOGY
400228,SCHNEIDER ELECTRIC SYSTEMS
400241,HUMAN ASSETS TRAINING INSTITUTE
400255,INTERNATIONAL AGENT FOR TRADING EST
400260,ARAB ENERGY COMPANY
400261,ISAM KABBANI & PARTNERS FOR CONSTRU
400264,ARK CONTRACTING COMPANY
400298,TAMIMI GLOBAL CO. LTD.
400301,LAAFI UNIQUE GENERAL CONTRACTING ES
400304,UNITED ARK CONTRACTING CO.
400311,HYUNDAI ELECTRIC ARABIA LLC
400320,SPECIALIZED OIL & GAS ENGINEERING C
400353,POWER PROJECTS CONTRACTING EST.
400354,ADVANCED INDUSTRIAL INSTRUMENTS CO
400356,MEIRC SAUDI ARABIA CO.
400371,ABDULLA NASS & PARTNERS CO. LTD.
400373,PRECISION VALVES SERVICES COMPANY
400383,Hydratight Arabia Limited Co.
400397,AL JABER HEAVY LIFT & TRANSPORT CO.
400398,ASASAT AL TUWAYA GENERAL CONTRACTIN
400405,ARAB MONOPOLY CORPORATION
400406,Ahmed Yoosuf Al Nujaidhi Contractin
400409,GCC LAB CONFORMITY ASSESSMENT CO.
400416,STAR INT'L NDT SERVCES CO.
400421,FUTURE INSTITUTE FOR ADVANCE
400423,SGB Baroom company Limited
