vendor-code,vendor-name,material-group,material-subgroup,is-service,total-po-value-sar,total-po-count
100115,JDS MOTION ENGINEERING,,,,0,0
100126,ETA-PCS SWITCHGEAR MANUFACTURING LL,,,,1113,1
100127,EUROTECH DMCC,,,,16383.79,2
100128,EUROTECH DMCC,,,,0,0
100129,FIBERSYSTEM AB,,,,13977,2
100130,GULF METAL CRAFT  G.M.C  (LLC),,,,4047592.5,11
100112,GIRISH RADIO CORPORATION,,,,0,0
100108,BACHARACH INC.,,,,4200,1
100110,ESS BEE CONTROLS PVT. LTD.,,,,0,0
100107,AVIATE INTERNATIONAL,,,,0,0
100109,CHEMTROLS INDUSTRIES LTD,,,,0,0
100113,HIGHLY ELECTRIC CO LTD,,,,6135.94,1
100111,ELECTRO CABLES INC,,,,409020.56,3
100131,HONEYWELL - LIFE SAFETY DISTRIBUTIO,,,,0,0
100114,IWISS TOOLS CO. LIMITED,,,,0,0
100125,CERTIFIED INFORMATION TECHNOLOGYCONSULTANTS ESTABLISHMENT,,,,0,0
100132,INTERTEK SAUDI ARABIA LTD.,,,,155904.34,29
100134,LEEVISS INTERNATIONAL FZC,,,,0,0
100133,LORUNSER AUSTRIA GMBH,,,,86237.42,9
100143,SUDKABEL GMBH,,,,0,0
100141,SIEMENS LIMITED,,,,86844240.61,43
100142,STARTECH FZE,,,,434248.5,11
100140,RITTAL MIDDLE EAST FZE,,,,497623.56,4
100135,MIDDLE EAST BUSINESS DEVELOPMENT CO,,,,0,0
100136,MASCHINENFABRIK REINHAUSEN GMBH,,,,3240736.07,3
100137,NEXANS SUISSE SA,,,,550557,2
100148,TE Connectivity Solutions GmbH,,,,141375,5
100144,THERMO ELECTRIC CO LTD,,,,0,0
100145,TEAMVIEWER GMBH,,,,34545.64,5
100146,TILLQUIST GROUP ABOLD NAME - HUGO TILLQUIST AB,,,,477810.95,9
100147,TRIDELTA MEIDENSHA GMBH,,,,0,0
100151,POWER TRADING,,,,42390,1
100149,ELECTROSWITCH,,,,856080.47,4
100150,GE GRID SOLUTIONS (UK) LTD,,,,196463.78,4
100138,PHOENIX CONTACT MIDDLE EAST FZ-LLC,,,,778351.02,7
